"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 20 21:17:35 CST 2022","Sun Mar 20 21:17:44 CST 2022","8655","test_case","test_member_case","TestCase","","","添加成员","测试添加成员"
"passed","Sun Mar 20 21:18:08 CST 2022","Sun Mar 20 21:18:20 CST 2022","11793","test_case","test_member_case","TestCase","","","删除成员","测试删除成员"
"passed","Sun Mar 20 21:17:50 CST 2022","Sun Mar 20 21:18:02 CST 2022","11728","test_case","test_member_case","TestCase","","","删除成员","测试删除成员"
"passed","Sun Mar 20 21:17:19 CST 2022","Sun Mar 20 21:17:29 CST 2022","9502","test_case","test_member_case","TestCase","","","添加成员","测试添加成员"
