"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 22 23:51:12 CST 2022","Tue Feb 22 23:51:31 CST 2022","19515","test_case","test_add_members_case","TestAddMembers","","","单个成员添加成功","添加单个成员用例"
"passed","Tue Feb 22 23:51:31 CST 2022","Tue Feb 22 23:51:58 CST 2022","26986","test_case","test_add_members_case","TestAddMembers","","","多个成员添加成功","保存并继续添加，添加多个成员用例"
